txName: TChiWZoff
constraint: {(PV > anyBSM(1),anyBSM(2)), (anyBSM(1) > l+,l-,MET(3)), (anyBSM(2) > jet,jet,MET(4))}
condition: None
conditionDescription: None
figureUrl: None
source: HackAnalysis recast by Mark Goodsell and others, https://doi.org/10.48550/arXiv.2506.21676
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'x', 3: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (3, 'mass', GeV), 2: (2, 'mass', GeV), 3: (4, 'mass', GeV)}
finalState: ['MET', 'MET']
efficiencyMap: [[[120.0,70.0,120.0,70.0],1.702537e-05],
[[120.0,72.0,120.0,72.0],1.891045e-05],
[[120.0,74.0,120.0,74.0],2.030299e-05],
[[120.0,76.0,120.0,76.0],2.628806e-05],
[[120.0,78.0,120.0,78.0],2.691343e-05],
[[120.0,80.0,120.0,80.0],4.638358e-05],
[[120.0,82.0,120.0,82.0],4.274328e-05],
[[120.0,84.0,120.0,84.0],4.538507e-05],
[[120.0,86.0,120.0,86.0],5.901493e-05],
[[120.0,88.0,120.0,88.0],7.922537e-05],
[[120.0,90.0,120.0,90.0],7.870448e-05],
[[120.0,92.0,120.0,92.0],8.147612e-05],
[[120.0,94.0,120.0,94.0],7.510746e-05],
[[120.0,96.0,120.0,96.0],5.996866e-05],
[[120.0,98.0,120.0,98.0],3.659254e-05],
[[120.0,100.0,120.0,100.0],7.313433e-06],
[[120.0,102.0,120.0,102.0],5.504179e-06],
[[120.0,104.0,120.0,104.0],7.38806e-06],
[[120.0,106.0,120.0,106.0],7.925224e-06],
[[120.0,108.0,120.0,108.0],8.627761e-06],
[[120.0,110.0,120.0,110.0],4.316269e-06],
[[120.0,112.0,120.0,112.0],6.107463e-06],
[[120.0,114.0,120.0,114.0],0.0],
[[120.0,116.0,120.0,116.0],0.0],
[[130.0,80.0,130.0,80.0],1.297507e-05],
[[130.0,82.0,130.0,82.0],1.869254e-05],
[[130.0,84.0,130.0,84.0],1.556866e-05],
[[130.0,86.0,130.0,86.0],2.866716e-05],
[[130.0,88.0,130.0,88.0],3.79806e-05],
[[130.0,90.0,130.0,90.0],4.58209e-05],
[[130.0,92.0,130.0,92.0],5.417761e-05],
[[130.0,94.0,130.0,94.0],5.66791e-05],
[[130.0,96.0,130.0,96.0],8.04403e-05],
[[130.0,98.0,130.0,98.0],8.598358e-05],
[[130.0,100.0,130.0,100.0],9.93791e-05],
[[130.0,102.0,130.0,102.0],0.0001058269],
[[130.0,104.0,130.0,104.0],8.781791e-05],
[[130.0,106.0,130.0,106.0],7.624627e-05],
[[130.0,108.0,130.0,108.0],4.178507e-05],
[[130.0,110.0,130.0,110.0],6.279254e-06],
[[130.0,112.0,130.0,112.0],6.916119e-06],
[[130.0,114.0,130.0,114.0],8.127463e-06],
[[130.0,116.0,130.0,116.0],5.621493e-06],
[[130.0,118.0,130.0,118.0],1.122403e-05],
[[130.0,120.0,130.0,120.0],7.471493e-06],
[[130.0,122.0,130.0,122.0],3.767612e-06],
[[130.0,124.0,130.0,124.0],2.495075e-06],
[[130.0,126.0,130.0,126.0],1.879254e-06],
