txName: TChiWH
constraint: [[['W']],[['higgs']]]
condition: None
conditionDescription: None
figureUrl: https://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-18-007/CMS-SUS-18-007_Figure_004.pdf
source: CMS
validated: True
axes: [[x, y], [x, y]]
finalState: ['MET', 'MET']
intermediateState: None
upperLimits: [[[[1.2625E+02*GeV,1.2500E+00*GeV],[1.2625E+02*GeV,1.2500E+00*GeV]],3.1465E+00*pb],
[[[1.2875E+02*GeV,1.2500E+00*GeV],[1.2875E+02*GeV,1.2500E+00*GeV]],3.1796E+00*pb],
[[[1.2875E+02*GeV,3.7500E+00*GeV],[1.2875E+02*GeV,3.7500E+00*GeV]],3.2618E+00*pb],
[[[1.3125E+02*GeV,1.2500E+00*GeV],[1.3125E+02*GeV,1.2500E+00*GeV]],3.1157E+00*pb],
[[[1.3125E+02*GeV,3.7500E+00*GeV],[1.3125E+02*GeV,3.7500E+00*GeV]],3.1898E+00*pb],
[[[1.3125E+02*GeV,6.2500E+00*GeV],[1.3125E+02*GeV,6.2500E+00*GeV]],3.2653E+00*pb],
[[[1.3375E+02*GeV,1.2500E+00*GeV],[1.3375E+02*GeV,1.2500E+00*GeV]],3.1313E+00*pb],
[[[1.3375E+02*GeV,3.7500E+00*GeV],[1.3375E+02*GeV,3.7500E+00*GeV]],3.2015E+00*pb],
[[[1.3375E+02*GeV,6.2500E+00*GeV],[1.3375E+02*GeV,6.2500E+00*GeV]],3.2717E+00*pb],
[[[1.3375E+02*GeV,8.7500E+00*GeV],[1.3375E+02*GeV,8.7500E+00*GeV]],3.3431E+00*pb],
[[[1.3625E+02*GeV,1.2500E+00*GeV],[1.3625E+02*GeV,1.2500E+00*GeV]],3.0561E+00*pb],
[[[1.3625E+02*GeV,3.7500E+00*GeV],[1.3625E+02*GeV,3.7500E+00*GeV]],3.1209E+00*pb],
[[[1.3625E+02*GeV,6.2500E+00*GeV],[1.3625E+02*GeV,6.2500E+00*GeV]],3.1856E+00*pb],
[[[1.3625E+02*GeV,8.7500E+00*GeV],[1.3625E+02*GeV,8.7500E+00*GeV]],3.2503E+00*pb],
[[[1.3625E+02*GeV,1.1250E+01*GeV],[1.3625E+02*GeV,1.1250E+01*GeV]],3.3150E+00*pb],
[[[1.3875E+02*GeV,1.2500E+00*GeV],[1.3875E+02*GeV,1.2500E+00*GeV]],3.0582E+00*pb],
[[[1.3875E+02*GeV,3.7500E+00*GeV],[1.3875E+02*GeV,3.7500E+00*GeV]],3.1195E+00*pb],
[[[1.3875E+02*GeV,6.2500E+00*GeV],[1.3875E+02*GeV,6.2500E+00*GeV]],3.1809E+00*pb],
[[[1.3875E+02*GeV,8.7500E+00*GeV],[1.3875E+02*GeV,8.7500E+00*GeV]],3.2423E+00*pb],
[[[1.3875E+02*GeV,1.1250E+01*GeV],[1.3875E+02*GeV,1.1250E+01*GeV]],3.3036E+00*pb],
[[[1.3875E+02*GeV,1.3750E+01*GeV],[1.3875E+02*GeV,1.3750E+01*GeV]],3.3650E+00*pb],
[[[1.4125E+02*GeV,1.2500E+00*GeV],[1.4125E+02*GeV,1.2500E+00*GeV]],2.9765E+00*pb],
[[[1.4125E+02*GeV,3.7500E+00*GeV],[1.4125E+02*GeV,3.7500E+00*GeV]],3.0333E+00*pb],
[[[1.4125E+02*GeV,6.2500E+00*GeV],[1.4125E+02*GeV,6.2500E+00*GeV]],3.0901E+00*pb],
[[[1.4125E+02*GeV,8.7500E+00*GeV],[1.4125E+02*GeV,8.7500E+00*GeV]],3.1468E+00*pb],
