txName: TChiWZoff
constraint: {(PV > anyBSM(1),anyBSM(2)), (anyBSM(1) > mu+,mu-,MET(3)), (anyBSM(2) > l,nu,MET(4))}
condition: None
conditionDescription: None
figureUrl: None
source: HackAnalysis recast by Mark Goodsell and others, https://doi.org/10.48550/arXiv.2506.21676
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'x', 3: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (3, 'mass', GeV), 2: (2, 'mass', GeV), 3: (4, 'mass', GeV)}
finalState: ['MET', 'MET']
efficiencyMap: [[[120.0,70.0,120.0,70.0],0.0002566545],
[[120.0,72.0,120.0,72.0],0.0003551091],
[[120.0,74.0,120.0,74.0],0.0002832273],
[[120.0,76.0,120.0,76.0],0.0003238727],
[[120.0,78.0,120.0,78.0],0.0002975455],
[[120.0,80.0,120.0,80.0],0.0002296636],
[[120.0,82.0,120.0,82.0],0.0001919],
[[120.0,84.0,120.0,84.0],0.0001663455],
[[120.0,86.0,120.0,86.0],7.838273e-05],
[[120.0,88.0,120.0,88.0],7.36e-05],
[[120.0,90.0,120.0,90.0],5.575455e-06],
[[120.0,92.0,120.0,92.0],0.0],
[[120.0,94.0,120.0,94.0],0.0],
[[120.0,96.0,120.0,96.0],0.0],
[[120.0,98.0,120.0,98.0],3.753455e-06],
[[120.0,100.0,120.0,100.0],0.0],
[[120.0,102.0,120.0,102.0],0.0],
[[120.0,104.0,120.0,104.0],0.0],
[[120.0,106.0,120.0,106.0],0.0],
[[120.0,108.0,120.0,108.0],0.0],
[[120.0,110.0,120.0,110.0],0.0],
[[120.0,112.0,120.0,112.0],0.0],
[[120.0,114.0,120.0,114.0],0.0],
[[120.0,116.0,120.0,116.0],0.0],
[[120.0,118.0,120.0,118.0],0.0],
[[130.0,80.0,130.0,80.0],0.0003364],
[[130.0,82.0,130.0,82.0],0.0003194182],
[[130.0,84.0,130.0,84.0],0.0003692818],
[[130.0,86.0,130.0,86.0],0.0003552182],
[[130.0,88.0,130.0,88.0],0.0003881818],
[[130.0,90.0,130.0,90.0],0.0002944364],
[[130.0,92.0,130.0,92.0],0.0003447],
[[130.0,94.0,130.0,94.0],0.0002681273],
[[130.0,96.0,130.0,96.0],0.0001295909],
[[130.0,98.0,130.0,98.0],6.680636e-05],
[[130.0,100.0,130.0,100.0],7.582182e-06],
[[130.0,102.0,130.0,102.0],0.0],
[[130.0,104.0,130.0,104.0],0.0],
[[130.0,106.0,130.0,106.0],0.0],
[[130.0,108.0,130.0,108.0],0.0],
[[130.0,110.0,130.0,110.0],0.0],
[[130.0,112.0,130.0,112.0],0.0],
[[130.0,114.0,130.0,114.0],0.0],
[[130.0,116.0,130.0,116.0],0.0],
[[130.0,118.0,130.0,118.0],0.0],
[[130.0,120.0,130.0,120.0],0.0],
[[130.0,122.0,130.0,122.0],0.0],
[[130.0,124.0,130.0,124.0],0.0],
[[130.0,126.0,130.0,126.0],0.0],
[[130.0,128.0,130.0,128.0],0.0],
[[140.0,90.0,140.0,90.0],0.0003426],
[[140.0,92.0,140.0,92.0],0.0004325091],
[[140.0,94.0,140.0,94.0],0.0003616182],
[[140.0,96.0,140.0,96.0],0.000377],
[[140.0,98.0,140.0,98.0],0.0003292636],
[[140.0,100.0,140.0,100.0],0.0003759182],
[[140.0,102.0,140.0,102.0],0.0003319727],
[[140.0,104.0,140.0,104.0],0.0002377727],
[[140.0,106.0,140.0,106.0],0.0001450636],
[[140.0,108.0,140.0,108.0],7.302364e-05],
[[140.0,110.0,140.0,110.0],3.905455e-06],
