txName: TChiZISRqq
constraint: {(PV > anyBSM(1), MET(3)), (anyBSM(1) > q,q,MET(2))}
condition: None
conditionDescription: None
figureUrl: None
source: Recast by MA5
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (2, 'mass', GeV), 2: (3, 'mass', GeV)}
finalState: ['MET', 'MET']
intermediateState: None
efficiencyMap: [[[10.0,1.0,1.0],3.728842e-07],
[[20.0,1.0,1.0],2.694364e-07],
[[20.0,15.0,15.0],9.882337e-07],
[[20.0,17.0,17.0],1.20653e-06],
[[20.0,19.0,19.0],2.354088e-06],
[[30.0,1.0,1.0],2.32689e-07],
[[30.0,20.0,20.0],5.124226e-07],
[[30.0,25.0,25.0],1.299387e-06],
[[30.0,27.0,27.0],3.69224e-06],
[[30.0,29.0,29.0],5.436044e-06],
[[40.0,1.0,1.0],8.43807e-08],
[[40.0,20.0,20.0],2.241647e-07],
[[40.0,30.0,30.0],1.527067e-06],
[[40.0,35.0,35.0],1.610686e-06],
[[40.0,37.0,37.0],2.878298e-06],
[[40.0,39.0,39.0],3.257238e-06],
[[50.0,1.0,1.0],8.582139e-08],
[[50.0,20.0,20.0],4.029179e-07],
[[50.0,30.0,30.0],3.762503e-07],
[[50.0,40.0,40.0],2.237223e-06],
[[50.0,45.0,45.0],6.972804e-06],
[[50.0,47.0,47.0],9.681042e-06],
[[50.0,49.0,49.0],1.411318e-05],
[[60.0,1.0,1.0],4.732177e-08],
[[60.0,20.0,20.0],1.942307e-07],
[[60.0,30.0,30.0],1.196255e-06],
[[60.0,40.0,40.0],4.626704e-06],
[[60.0,50.0,50.0],1.076644e-05],
[[60.0,55.0,55.0],1.91902e-05],
[[60.0,57.0,57.0],2.08795e-05],
[[60.0,59.0,59.0],2.164195e-05],
[[62.0,12.0,12.0],7.940973e-08],
[[62.0,42.0,42.0],4.730466e-06],
[[62.0,52.0,52.0],1.023842e-05],
[[63.0,62.0,62.0],2.045138e-05],
[[65.0,62.0,62.0],2.00562e-05],
[[67.0,42.0,42.0],5.874284e-06],
[[67.0,52.0,52.0],9.112667e-06],
[[67.0,62.0,62.0],1.944979e-05],
[[72.0,12.0,12.0],1.470184e-07],
[[72.0,22.0,22.0],2.469117e-06],
[[72.0,52.0,52.0],1.098494e-05],
[[72.0,62.0,62.0],1.989736e-05],
[[73.0,72.0,72.0],2.918801e-05],
[[75.0,72.0,72.0],3.051649e-05],
[[77.0,52.0,52.0],1.067098e-05],
[[77.0,62.0,62.0],1.494068e-05],
[[77.0,72.0,72.0],2.876803e-05],
[[82.0,12.0,12.0],5.823134e-06],
[[82.0,22.0,22.0],6.618443e-06],
[[82.0,32.0,32.0],9.151286e-06],
[[82.0,62.0,62.0],1.681032e-05],
[[82.0,72.0,72.0],2.304822e-05],
[[83.0,82.0,82.0],4.104197e-05],
[[85.0,82.0,82.0],3.931591e-05],
[[87.0,62.0,62.0],1.633724e-05],
[[87.0,72.0,72.0],2.232482e-05],
[[87.0,82.0,82.0],3.73907e-05],
[[92.0,12.0,12.0],5.648745e-06],
[[92.0,22.0,22.0],1.077393e-05],
[[92.0,32.0,32.0],1.27201e-05],
[[92.0,42.0,42.0],1.497239e-05],
[[92.0,72.0,72.0],2.181762e-05],
[[92.0,82.0,82.0],3.061645e-05],
[[93.0,92.0,92.0],5.140483e-05],
[[97.0,72.0,72.0],2.721672e-05],
[[97.0,82.0,82.0],3.346301e-05],
[[97.0,92.0,92.0],4.645542e-05],
[[102.0,22.0,22.0],1.756471e-05],
[[102.0,32.0,32.0],1.71065e-05],
[[102.0,42.0,42.0],2.596689e-05],
[[102.0,52.0,52.0],2.316997e-05],
[[102.0,82.0,82.0],2.622716e-05],
[[102.0,92.0,92.0],4.082016e-05],
[[105.0,102.0,102.0],5.777107e-05],
[[107.0,82.0,82.0],3.269447e-05],
[[107.0,92.0,92.0],4.318423e-05],
[[107.0,102.0,102.0],6.13597e-05],
[[112.0,32.0,32.0],2.027126e-05],
[[112.0,42.0,42.0],2.381717e-05],
[[112.0,52.0,52.0],2.589352e-05],
[[112.0,62.0,62.0],2.423727e-05],
[[112.0,92.0,92.0],3.668438e-05],
[[112.0,102.0,102.0],5.209259e-05],
[[117.0,92.0,92.0],3.696545e-05],
[[117.0,102.0,102.0],4.848648e-05],
[[122.0,42.0,42.0],4.281609e-05],
[[122.0,52.0,52.0],2.993199e-05],
[[122.0,62.0,62.0],3.927792e-05],
[[122.0,72.0,72.0],3.156831e-05],
[[122.0,102.0,102.0],4.582753e-05],
[[123.0,122.0,122.0],8.782948e-05],
[[127.0,102.0,102.0],4.529709e-05],
[[127.0,122.0,122.0],7.737708e-05],
[[132.0,52.0,52.0],3.939736e-05],
[[132.0,62.0,62.0],6.315609e-05],
[[132.0,72.0,72.0],4.088755e-05],
[[132.0,82.0,82.0],4.534979e-05],
[[132.0,122.0,122.0],6.748771e-05],
[[142.0,62.0,62.0],5.561468e-05],
[[142.0,72.0,72.0],5.232354e-05],
[[142.0,82.0,82.0],5.283993e-05],
[[142.0,92.0,92.0],5.379863e-05],
[[142.0,122.0,122.0],6.289265e-05],
[[143.0,142.0,142.0],0.0001009362],
[[145.0,142.0,142.0],9.593383e-05],
[[147.0,122.0,122.0],6.715151e-05],
[[147.0,142.0,142.0],0.0001088881],
[[152.0,72.0,72.0],6.349055e-05],
[[152.0,82.0,82.0],6.290909e-05],
[[152.0,92.0,92.0],6.175803e-05],
[[152.0,102.0,102.0],5.87032e-05],
[[152.0,142.0,142.0],9.426587e-05],
[[157.0,142.0,142.0],8.883663e-05],
[[162.0,82.0,82.0],6.899382e-05],
[[162.0,102.0,102.0],6.456342e-05],
[[162.0,142.0,142.0],8.795307e-05],
[[163.0,162.0,162.0],0.0001211001],
[[165.0,162.0,162.0],0.0001234367],
[[167.0,142.0,142.0],8.274289e-05],
[[167.0,162.0,162.0],0.0001248851],
[[172.0,92.0,92.0],8.707404e-05],
[[172.0,122.0,122.0],8.247053e-05],
[[172.0,162.0,162.0],0.0001231529],
[[177.0,162.0,162.0],0.0001069236],
[[182.0,102.0,102.0],0.0001032711],
[[182.0,162.0,162.0],0.0001025682],
[[183.0,182.0,182.0],0.0001478938],
[[187.0,162.0,162.0],9.867706e-05],
[[187.0,182.0,182.0],0.0001450733],
[[192.0,122.0,122.0],0.0001018496],
[[192.0,142.0,142.0],9.236404e-05],
[[192.0,182.0,182.0],0.0001368805],
[[197.0,182.0,182.0],0.0001131623],
[[202.0,122.0,122.0],0.0001138757],
[[202.0,142.0,142.0],0.0001076966],
[[202.0,182.0,182.0],0.0001298602],
[[203.0,202.0,202.0],0.0001660342],
[[207.0,182.0,182.0],0.0001254536],
[[207.0,202.0,202.0],0.0001571578],
[[212.0,142.0,142.0],0.0001140783],
[[212.0,162.0,162.0],0.0001100637],
[[212.0,202.0,202.0],0.0001464421],
[[217.0,202.0,202.0],0.0001437427],
[[222.0,142.0,142.0],0.0001334725],
[[222.0,162.0,162.0],0.0001289012],
[[222.0,202.0,202.0],0.0001339197],
[[223.0,222.0,222.0],0.0001895052],
[[227.0,202.0,202.0],0.0001367907],
[[227.0,222.0,222.0],0.0001758379],
[[232.0,162.0,162.0],0.0001450856],
[[232.0,182.0,182.0],0.0001331821],
[[232.0,222.0,222.0],0.0001678729],
[[237.0,222.0,222.0],0.0001615056],
[[242.0,162.0,162.0],0.0001505368],
[[242.0,182.0,182.0],0.0001383319],
[[242.0,222.0,222.0],0.0001645429],
[[243.0,242.0,242.0],0.0002035564],
[[247.0,222.0,222.0],0.0001459603],
[[247.0,242.0,242.0],0.0002063763],
[[252.0,202.0,202.0],0.00014481],
[[252.0,242.0,242.0],0.0001836421],
[[257.0,242.0,242.0],0.0001754839],
[[262.0,182.0,182.0],0.0001722912],
[[262.0,202.0,202.0],0.0001731372],
[[262.0,242.0,242.0],0.0001764063],
[[263.0,262.0,262.0],0.0001972852],
[[265.0,262.0,262.0],0.0002107192],
[[267.0,242.0,242.0],0.0001650303],
[[267.0,262.0,262.0],0.000211106],
[[272.0,222.0,222.0],0.0001668023],
[[272.0,262.0,262.0],0.0002032426],
[[277.0,262.0,262.0],0.0001983777],
[[282.0,202.0,202.0],0.0001749784],
[[282.0,222.0,222.0],0.0001732741],
[[282.0,262.0,262.0],0.0001993468],
[[283.0,282.0,282.0],0.0002299277],
[[285.0,282.0,282.0],0.0002269022],
[[287.0,262.0,262.0],0.000188021],
[[287.0,282.0,282.0],0.0002264106],
[[292.0,242.0,242.0],0.0001678392],
[[292.0,282.0,282.0],0.0002242472],
[[297.0,282.0,282.0],0.0002233094],
[[302.0,222.0,222.0],0.0002009244],
[[302.0,242.0,242.0],0.000183512],
[[302.0,282.0,282.0],0.0001965213],
[[303.0,302.0,302.0],0.000246475],
[[307.0,282.0,282.0],0.0001964234],
[[307.0,302.0,302.0],0.0002346832],
[[312.0,262.0,262.0],0.0001922798],
[[322.0,242.0,242.0],0.0002177636],
[[322.0,262.0,262.0],0.0001974096],
[[327.0,302.0,302.0],0.0002204287],
[[332.0,262.0,262.0],0.0002117153],
[[332.0,282.0,282.0],0.0001915779],
[[332.0,322.0,322.0],0.0002450884],
[[342.0,262.0,262.0],0.0002221441],
[[342.0,282.0,282.0],0.0002049035],
[[347.0,322.0,322.0],0.0002279912],
[[352.0,282.0,282.0],0.0002316648],
[[352.0,302.0,302.0],0.0002224581],
[[352.0,342.0,342.0],0.0002525755],
[[362.0,282.0,282.0],0.0002550045],
[[363.0,362.0,362.0],0.000283259],
[[367.0,342.0,342.0],0.0002571955],
[[367.0,362.0,362.0],0.0002715695],
[[372.0,322.0,322.0],0.0002283654],
[[382.0,302.0,302.0],0.0002931196],
[[383.0,382.0,382.0],0.0002962693],
[[387.0,362.0,362.0],0.0002581068],
[[387.0,382.0,382.0],0.0003046595],
[[392.0,342.0,342.0],0.0002426147],
[[403.0,402.0,402.0],0.0003257215],
[[407.0,402.0,402.0],0.0002907915],
[[412.0,362.0,362.0],0.0002512522],
[[427.0,402.0,402.0],0.00028319],
[[432.0,362.0,362.0],0.0002790217],
[[432.0,382.0,382.0],0.0002598851],
[[442.0,362.0,362.0],0.0002829001],
[[452.0,402.0,402.0],0.0002794183],
[[462.0,382.0,382.0],0.0003198243],
[[482.0,402.0,402.0],0.0003209322],
[[503.0,502.0,502.0],0.0003510413],
[[507.0,502.0,502.0],0.0003554381],
[[527.0,502.0,502.0],0.0003356235],
