txName: TStauStau
constraint: [[['ta+']],[['ta-']]]
condition: None
conditionDescription: None
figureUrl: https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2018-04/figaux_01a.png
source: ATLAS
validated: True
axes: [[x, y], [x, y]]
finalState: ['MET', 'MET']
upperLimits: [[[[8.000000E+01*GeV,1.000000E+00*GeV],[8.000000E+01*GeV,1.000000E+00*GeV]],2.444300E+01*pb],
[[[1.000000E+02*GeV,1.000000E+00*GeV],[1.000000E+02*GeV,1.000000E+00*GeV]],6.270300E-01*pb],
[[[1.200000E+02*GeV,1.000000E+00*GeV],[1.200000E+02*GeV,1.000000E+00*GeV]],1.954800E-01*pb],
[[[1.200000E+02*GeV,4.000000E+01*GeV],[1.200000E+02*GeV,4.000000E+01*GeV]],4.951600E-01*pb],
[[[1.400000E+02*GeV,1.000000E+00*GeV],[1.400000E+02*GeV,1.000000E+00*GeV]],8.058900E-02*pb],
[[[1.400000E+02*GeV,4.000000E+01*GeV],[1.400000E+02*GeV,4.000000E+01*GeV]],1.246800E-01*pb],
[[[1.600000E+02*GeV,1.000000E+00*GeV],[1.600000E+02*GeV,1.000000E+00*GeV]],3.868700E-02*pb],
[[[1.600000E+02*GeV,4.000000E+01*GeV],[1.600000E+02*GeV,4.000000E+01*GeV]],4.872100E-02*pb],
[[[1.600000E+02*GeV,8.000000E+01*GeV],[1.600000E+02*GeV,8.000000E+01*GeV]],1.995300E-01*pb],
[[[1.600000E+02*GeV,1.000000E+02*GeV],[1.600000E+02*GeV,1.000000E+02*GeV]],1.168100E+00*pb],
[[[1.800000E+02*GeV,1.000000E+00*GeV],[1.800000E+02*GeV,1.000000E+00*GeV]],2.181300E-02*pb],
[[[1.800000E+02*GeV,4.000000E+01*GeV],[1.800000E+02*GeV,4.000000E+01*GeV]],2.668000E-02*pb],
[[[2.000000E+02*GeV,1.000000E+00*GeV],[2.000000E+02*GeV,1.000000E+00*GeV]],1.232500E-02*pb],
[[[2.000000E+02*GeV,4.000000E+01*GeV],[2.000000E+02*GeV,4.000000E+01*GeV]],1.445300E-02*pb],
[[[2.000000E+02*GeV,8.000000E+01*GeV],[2.000000E+02*GeV,8.000000E+01*GeV]],2.916800E-02*pb],
[[[2.000000E+02*GeV,1.200000E+02*GeV],[2.000000E+02*GeV,1.200000E+02*GeV]],1.011600E-01*pb],
[[[2.200000E+02*GeV,1.000000E+00*GeV],[2.200000E+02*GeV,1.000000E+00*GeV]],7.200600E-03*pb],
[[[2.200000E+02*GeV,4.000000E+01*GeV],[2.200000E+02*GeV,4.000000E+01*GeV]],1.114300E-02*pb],
[[[2.400000E+02*GeV,1.000000E+00*GeV],[2.400000E+02*GeV,1.000000E+00*GeV]],7.858200E-03*pb],
[[[2.400000E+02*GeV,4.000000E+01*GeV],[2.400000E+02*GeV,4.000000E+01*GeV]],7.537500E-03*pb],
[[[2.400000E+02*GeV,8.000000E+01*GeV],[2.400000E+02*GeV,8.000000E+01*GeV]],1.125500E-02*pb],
[[[2.400000E+02*GeV,1.200000E+02*GeV],[2.400000E+02*GeV,1.200000E+02*GeV]],1.747400E-02*pb],
[[[2.400000E+02*GeV,1.600000E+02*GeV],[2.400000E+02*GeV,1.600000E+02*GeV]],9.266500E-02*pb],
[[[2.600000E+02*GeV,1.000000E+00*GeV],[2.600000E+02*GeV,1.000000E+00*GeV]],5.067300E-03*pb],
[[[2.600000E+02*GeV,4.000000E+01*GeV],[2.600000E+02*GeV,4.000000E+01*GeV]],6.561000E-03*pb],
[[[2.800000E+02*GeV,1.000000E+00*GeV],[2.800000E+02*GeV,1.000000E+00*GeV]],4.758100E-03*pb],
[[[2.800000E+02*GeV,4.000000E+01*GeV],[2.800000E+02*GeV,4.000000E+01*GeV]],4.140100E-03*pb],
[[[2.800000E+02*GeV,8.000000E+01*GeV],[2.800000E+02*GeV,8.000000E+01*GeV]],5.022500E-03*pb],
[[[2.800000E+02*GeV,1.200000E+02*GeV],[2.800000E+02*GeV,1.200000E+02*GeV]],6.036500E-03*pb],
[[[2.800000E+02*GeV,1.600000E+02*GeV],[2.800000E+02*GeV,1.600000E+02*GeV]],1.679100E-02*pb],
[[[2.800000E+02*GeV,2.000000E+02*GeV],[2.800000E+02*GeV,2.000000E+02*GeV]],7.698100E-02*pb],
[[[3.000000E+02*GeV,1.000000E+00*GeV],[3.000000E+02*GeV,1.000000E+00*GeV]],3.546400E-03*pb],
[[[3.000000E+02*GeV,4.000000E+01*GeV],[3.000000E+02*GeV,4.000000E+01*GeV]],3.558700E-03*pb],
[[[3.200000E+02*GeV,1.000000E+00*GeV],[3.200000E+02*GeV,1.000000E+00*GeV]],2.915500E-03*pb],
[[[3.200000E+02*GeV,4.000000E+01*GeV],[3.200000E+02*GeV,4.000000E+01*GeV]],3.025500E-03*pb],
[[[3.200000E+02*GeV,8.000000E+01*GeV],[3.200000E+02*GeV,8.000000E+01*GeV]],3.017200E-03*pb],
[[[3.200000E+02*GeV,1.200000E+02*GeV],[3.200000E+02*GeV,1.200000E+02*GeV]],4.579300E-03*pb],
[[[3.200000E+02*GeV,1.600000E+02*GeV],[3.200000E+02*GeV,1.600000E+02*GeV]],5.048600E-03*pb],
[[[3.200000E+02*GeV,2.000000E+02*GeV],[3.200000E+02*GeV,2.000000E+02*GeV]],1.403900E-02*pb],
[[[3.400000E+02*GeV,1.000000E+00*GeV],[3.400000E+02*GeV,1.000000E+00*GeV]],2.256300E-03*pb],
[[[3.400000E+02*GeV,4.000000E+01*GeV],[3.400000E+02*GeV,4.000000E+01*GeV]],2.388800E-03*pb],
[[[3.600000E+02*GeV,1.000000E+00*GeV],[3.600000E+02*GeV,1.000000E+00*GeV]],2.204300E-03*pb],
[[[3.600000E+02*GeV,4.000000E+01*GeV],[3.600000E+02*GeV,4.000000E+01*GeV]],2.442400E-03*pb],
[[[3.600000E+02*GeV,8.000000E+01*GeV],[3.600000E+02*GeV,8.000000E+01*GeV]],2.876200E-03*pb],
[[[3.600000E+02*GeV,1.200000E+02*GeV],[3.600000E+02*GeV,1.200000E+02*GeV]],3.311100E-03*pb],
[[[3.600000E+02*GeV,1.600000E+02*GeV],[3.600000E+02*GeV,1.600000E+02*GeV]],3.555000E-03*pb],
[[[3.600000E+02*GeV,2.000000E+02*GeV],[3.600000E+02*GeV,2.000000E+02*GeV]],5.465600E-03*pb],
[[[3.800000E+02*GeV,1.000000E+00*GeV],[3.800000E+02*GeV,1.000000E+00*GeV]],2.092200E-03*pb],
[[[4.000000E+02*GeV,1.000000E+00*GeV],[4.000000E+02*GeV,1.000000E+00*GeV]],2.016100E-03*pb],
