txName: TChiWZoff
constraint: {(PV > anyBSM(1),anyBSM(2)), (anyBSM(1) > l+,l-,MET(3)), (anyBSM(2) > jet,jet,MET(4))}
condition: None
conditionDescription: None
figureUrl: None
source: HackAnalysis recast by Mark Goodsell and others, https://doi.org/10.48550/arXiv.2506.21676
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'x', 3: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (3, 'mass', GeV), 2: (2, 'mass', GeV), 3: (4, 'mass', GeV)}
finalState: ['MET', 'MET']
efficiencyMap: [[[120.0,70.0,120.0,70.0],0.0],
[[120.0,72.0,120.0,72.0],0.0],
[[120.0,74.0,120.0,74.0],0.0],
[[120.0,76.0,120.0,76.0],1.229269e-06],
[[120.0,78.0,120.0,78.0],6.250448e-07],
[[120.0,80.0,120.0,80.0],1.201522e-06],
[[120.0,82.0,120.0,82.0],6.15597e-07],
[[120.0,84.0,120.0,84.0],1.21094e-06],
[[120.0,86.0,120.0,86.0],0.0],
[[120.0,88.0,120.0,88.0],0.0],
[[120.0,90.0,120.0,90.0],5.926269e-07],
[[120.0,92.0,120.0,92.0],0.0],
[[120.0,94.0,120.0,94.0],1.219806e-06],
[[120.0,96.0,120.0,96.0],1.198985e-06],
[[120.0,98.0,120.0,98.0],6.142537e-06],
[[120.0,100.0,120.0,100.0],7.295075e-06],
[[120.0,102.0,120.0,102.0],3.693881e-06],
[[120.0,104.0,120.0,104.0],9.126119e-06],
[[120.0,106.0,120.0,106.0],1.040701e-05],
[[120.0,108.0,120.0,108.0],2.196269e-05],
[[120.0,110.0,120.0,110.0],2.516119e-05],
[[120.0,112.0,120.0,112.0],4.161194e-05],
[[120.0,114.0,120.0,114.0],7.978955e-05],
[[120.0,116.0,120.0,116.0],8.149104e-05],
[[130.0,80.0,130.0,80.0],0.0],
[[130.0,82.0,130.0,82.0],0.0],
[[130.0,84.0,130.0,84.0],0.0],
[[130.0,86.0,130.0,86.0],0.0],
[[130.0,88.0,130.0,88.0],6.278806e-07],
[[130.0,90.0,130.0,90.0],0.0],
[[130.0,92.0,130.0,92.0],0.0],
[[130.0,94.0,130.0,94.0],1.256791e-06],
[[130.0,96.0,130.0,96.0],6.234179e-07],
[[130.0,98.0,130.0,98.0],1.266104e-06],
[[130.0,100.0,130.0,100.0],6.136269e-07],
[[130.0,102.0,130.0,102.0],1.251612e-06],
[[130.0,104.0,130.0,104.0],6.265522e-07],
[[130.0,106.0,130.0,106.0],3.758657e-06],
[[130.0,108.0,130.0,108.0],3.757164e-06],
[[130.0,110.0,130.0,110.0],8.127463e-06],
[[130.0,112.0,130.0,112.0],7.501045e-06],
[[130.0,114.0,130.0,114.0],1.249612e-05],
[[130.0,116.0,130.0,116.0],1.493881e-05],
[[130.0,118.0,130.0,118.0],2.440149e-05],
[[130.0,120.0,130.0,120.0],4.499552e-05],
[[130.0,122.0,130.0,122.0],4.488657e-05],
[[130.0,124.0,130.0,124.0],9.24e-05],
[[130.0,126.0,130.0,126.0],7.860896e-05],
[[140.0,90.0,140.0,90.0],0.0],
[[140.0,92.0,140.0,92.0],6.285821e-07],
[[140.0,94.0,140.0,94.0],0.0],
[[140.0,96.0,140.0,96.0],0.0],
[[140.0,98.0,140.0,98.0],0.0],
[[140.0,100.0,140.0,100.0],1.918955e-06],
[[140.0,102.0,140.0,102.0],0.0],
[[140.0,104.0,140.0,104.0],0.0],
[[140.0,106.0,140.0,106.0],0.0],
[[140.0,108.0,140.0,108.0],6.49806e-07],
[[140.0,110.0,140.0,110.0],1.903284e-06],
[[140.0,112.0,140.0,112.0],6.202537e-07],
[[140.0,114.0,140.0,114.0],1.290507e-06],
[[140.0,116.0,140.0,116.0],5.022836e-06],
[[140.0,118.0,140.0,118.0],3.164478e-06],
[[140.0,120.0,140.0,120.0],8.289552e-06],
[[140.0,122.0,140.0,122.0],5.664328e-06],
[[140.0,124.0,140.0,124.0],1.339e-05],
[[140.0,126.0,140.0,126.0],1.462313e-05],
[[140.0,128.0,140.0,128.0],2.159104e-05],
[[140.0,130.0,140.0,130.0],2.665672e-05],
[[140.0,132.0,140.0,132.0],7.772537e-05],
[[140.0,134.0,140.0,134.0],7.692239e-05],
[[140.0,136.0,140.0,136.0],8.281194e-05],
[[150.0,100.0,150.0,100.0],0.0],
[[150.0,102.0,150.0,102.0],0.0],
[[150.0,104.0,150.0,104.0],0.0],
[[150.0,106.0,150.0,106.0],0.0],
[[150.0,108.0,150.0,108.0],0.0],
[[150.0,110.0,150.0,110.0],0.0],
[[150.0,112.0,150.0,112.0],6.298209e-07],
[[150.0,114.0,150.0,114.0],6.415224e-07],
[[150.0,116.0,150.0,116.0],0.0],
[[150.0,118.0,150.0,118.0],6.533582e-07],
[[150.0,120.0,150.0,120.0],1.921791e-06],
[[150.0,122.0,150.0,122.0],2.56806e-06],
[[150.0,124.0,150.0,124.0],1.28806e-06],
[[150.0,126.0,150.0,126.0],3.204776e-06],
[[150.0,128.0,150.0,128.0],5.788358e-06],
[[150.0,130.0,150.0,130.0],9.705522e-06],
[[150.0,132.0,150.0,132.0],1.101701e-05],
[[150.0,134.0,150.0,134.0],8.32403e-06],
[[150.0,136.0,150.0,136.0],1.811642e-05],
[[150.0,138.0,150.0,138.0],2.204328e-05],
[[150.0,140.0,150.0,140.0],3.700896e-05],
[[150.0,142.0,150.0,142.0],5.759104e-05],
[[150.0,144.0,150.0,144.0],9.815075e-05],
[[150.0,146.0,150.0,146.0],6.534328e-05],
[[160.0,110.0,160.0,110.0],0.0],
[[160.0,112.0,160.0,112.0],6.682388e-07],
[[160.0,114.0,160.0,114.0],6.433731e-07],
[[160.0,116.0,160.0,116.0],6.723284e-07],
[[160.0,118.0,160.0,118.0],0.0],
[[160.0,120.0,160.0,120.0],1.335209e-06],
[[160.0,122.0,160.0,122.0],0.0],
[[160.0,124.0,160.0,124.0],0.0],
[[160.0,126.0,160.0,126.0],1.343343e-06],
[[160.0,128.0,160.0,128.0],1.97209e-06],
[[160.0,130.0,160.0,130.0],0.0],
[[160.0,132.0,160.0,132.0],2.624627e-06],
[[160.0,134.0,160.0,134.0],6.565224e-07],
[[160.0,136.0,160.0,136.0],1.316985e-06],
[[160.0,138.0,160.0,138.0],5.236119e-06],
[[160.0,140.0,160.0,140.0],7.288358e-06],
[[160.0,142.0,160.0,142.0],8.469104e-06],
[[160.0,144.0,160.0,144.0],1.24897e-05],
[[160.0,146.0,160.0,146.0],2.097612e-05],
[[160.0,148.0,160.0,148.0],3.236119e-05],
[[160.0,150.0,160.0,150.0],4.349701e-05],
[[160.0,152.0,160.0,152.0],6.383881e-05],
[[160.0,154.0,160.0,154.0],0.0001050343],
[[160.0,156.0,160.0,156.0],7.637761e-05],
