txName: TChiZISRqq
constraint: {(PV > anyBSM(1), MET(3)), (anyBSM(1) > q,q,MET(2))}
condition: None
conditionDescription: None
figureUrl: None
source: Recast by MA5
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (2, 'mass', GeV), 2: (3, 'mass', GeV)}
finalState: ['MET', 'MET']
intermediateState: None
efficiencyMap: [[[10.0,1.0,1.0],8.684614e-08],
[[20.0,1.0,1.0],2.741151e-08],
[[20.0,15.0,15.0],2.166015e-07],
[[20.0,17.0,17.0],2.020634e-07],
[[20.0,19.0,19.0],1.477381e-06],
[[30.0,1.0,1.0],3.466062e-08],
[[30.0,20.0,20.0],8.248136e-08],
[[30.0,25.0,25.0],2.083925e-07],
[[30.0,27.0,27.0],3.886042e-07],
[[30.0,29.0,29.0],1.180521e-06],
[[40.0,1.0,1.0],4.784345e-08],
[[40.0,20.0,20.0],3.801603e-08],
[[40.0,30.0,30.0],5.536415e-07],
[[40.0,35.0,35.0],3.102254e-07],
[[40.0,37.0,37.0],5.414001e-07],
[[40.0,39.0,39.0],1.439517e-06],
[[50.0,1.0,1.0],2.550221e-09],
[[50.0,20.0,20.0],2.315385e-08],
[[50.0,30.0,30.0],5.617564e-08],
[[50.0,40.0,40.0],4.731071e-07],
[[50.0,45.0,45.0],1.62065e-06],
[[50.0,47.0,47.0],2.432086e-06],
[[50.0,49.0,49.0],3.875942e-06],
[[60.0,1.0,1.0],1.890288e-08],
[[60.0,20.0,20.0],2.505206e-08],
[[60.0,30.0,30.0],3.100415e-07],
[[60.0,40.0,40.0],1.435159e-06],
[[60.0,50.0,50.0],2.82424e-06],
[[60.0,55.0,55.0],4.38691e-06],
[[60.0,57.0,57.0],5.873463e-06],
[[60.0,59.0,59.0],8.286179e-06],
[[62.0,12.0,12.0],1.819094e-08],
[[62.0,42.0,42.0],1.269343e-06],
[[62.0,52.0,52.0],2.198569e-06],
[[63.0,62.0,62.0],6.670375e-06],
[[65.0,62.0,62.0],5.295825e-06],
[[67.0,42.0,42.0],1.286872e-06],
[[67.0,52.0,52.0],2.359261e-06],
[[67.0,62.0,62.0],4.806796e-06],
[[72.0,12.0,12.0],1.804529e-08],
[[72.0,22.0,22.0],4.410118e-07],
[[72.0,52.0,52.0],2.146481e-06],
[[72.0,62.0,62.0],3.80895e-06],
[[73.0,72.0,72.0],8.627392e-06],
[[75.0,72.0,72.0],8.858092e-06],
[[77.0,52.0,52.0],2.428293e-06],
[[77.0,62.0,62.0],4.290464e-06],
[[77.0,72.0,72.0],7.367013e-06],
[[82.0,12.0,12.0],2.589474e-07],
[[82.0,22.0,22.0],3.10288e-06],
[[82.0,32.0,32.0],1.614036e-06],
[[82.0,62.0,62.0],4.22247e-06],
[[82.0,72.0,72.0],6.606953e-06],
[[83.0,82.0,82.0],1.360233e-05],
[[85.0,82.0,82.0],1.198181e-05],
[[87.0,62.0,62.0],5.184539e-06],
[[87.0,72.0,72.0],5.433875e-06],
[[87.0,82.0,82.0],1.007421e-05],
[[92.0,12.0,12.0],3.242321e-06],
[[92.0,22.0,22.0],1.351263e-06],
[[92.0,32.0,32.0],2.072975e-06],
[[92.0,42.0,42.0],3.37912e-06],
[[92.0,72.0,72.0],5.280633e-06],
[[92.0,82.0,82.0],1.06439e-05],
[[93.0,92.0,92.0],1.655295e-05],
[[97.0,72.0,72.0],6.011472e-06],
[[97.0,82.0,82.0],9.05649e-06],
[[97.0,92.0,92.0],1.406476e-05],
[[102.0,22.0,22.0],6.20849e-06],
[[102.0,32.0,32.0],3.276488e-06],
[[102.0,42.0,42.0],3.888393e-06],
[[102.0,52.0,52.0],3.988311e-06],
[[102.0,82.0,82.0],7.876919e-06],
[[102.0,92.0,92.0],1.118324e-05],
[[105.0,102.0,102.0],2.02092e-05],
[[107.0,82.0,82.0],8.856553e-06],
[[107.0,92.0,92.0],1.092981e-05],
[[107.0,102.0,102.0],1.961292e-05],
[[112.0,32.0,32.0],3.684169e-06],
[[112.0,42.0,42.0],7.800886e-06],
[[112.0,52.0,52.0],5.560518e-06],
[[112.0,62.0,62.0],6.803448e-06],
[[112.0,92.0,92.0],1.059612e-05],
[[112.0,102.0,102.0],1.490018e-05],
[[117.0,92.0,92.0],1.310209e-05],
[[117.0,102.0,102.0],1.468924e-05],
[[122.0,42.0,42.0],8.352871e-06],
[[122.0,52.0,52.0],8.607583e-06],
[[122.0,62.0,62.0],9.640265e-06],
[[122.0,72.0,72.0],7.105586e-06],
[[122.0,102.0,102.0],1.401776e-05],
[[123.0,122.0,122.0],3.168806e-05],
[[127.0,102.0,102.0],1.382186e-05],
[[127.0,122.0,122.0],2.664567e-05],
[[132.0,52.0,52.0],1.039753e-05],
[[132.0,62.0,62.0],1.095738e-05],
[[132.0,72.0,72.0],9.797032e-06],
[[132.0,82.0,82.0],1.078503e-05],
[[132.0,122.0,122.0],2.784398e-05],
[[142.0,62.0,62.0],1.568007e-05],
[[142.0,72.0,72.0],1.501899e-05],
[[142.0,82.0,82.0],1.462189e-05],
[[142.0,92.0,92.0],1.238534e-05],
[[142.0,122.0,122.0],2.042283e-05],
[[143.0,142.0,142.0],3.963434e-05],
[[145.0,142.0,142.0],3.971384e-05],
[[147.0,122.0,122.0],1.996119e-05],
[[147.0,142.0,142.0],3.588592e-05],
[[152.0,72.0,72.0],1.519779e-05],
[[152.0,82.0,82.0],1.359131e-05],
[[152.0,92.0,92.0],1.559676e-05],
[[152.0,102.0,102.0],1.745946e-05],
[[152.0,142.0,142.0],3.233717e-05],
[[157.0,142.0,142.0],2.926697e-05],
[[162.0,82.0,82.0],2.127568e-05],
[[162.0,102.0,102.0],1.886545e-05],
[[162.0,142.0,142.0],2.862148e-05],
[[163.0,162.0,162.0],4.804343e-05],
[[165.0,162.0,162.0],4.840296e-05],
[[167.0,142.0,142.0],2.569907e-05],
[[167.0,162.0,162.0],4.847288e-05],
[[172.0,92.0,92.0],1.908886e-05],
[[172.0,122.0,122.0],2.374559e-05],
[[172.0,162.0,162.0],4.333119e-05],
[[177.0,162.0,162.0],3.615314e-05],
[[182.0,102.0,102.0],2.617248e-05],
[[182.0,162.0,162.0],4.169829e-05],
[[183.0,182.0,182.0],6.231409e-05],
[[187.0,162.0,162.0],3.436141e-05],
[[187.0,182.0,182.0],5.44561e-05],
[[192.0,122.0,122.0],2.564061e-05],
[[192.0,142.0,142.0],2.657847e-05],
[[192.0,182.0,182.0],5.032263e-05],
[[197.0,182.0,182.0],4.44989e-05],
[[202.0,122.0,122.0],3.226816e-05],
[[202.0,142.0,142.0],3.762546e-05],
[[202.0,182.0,182.0],4.561392e-05],
[[203.0,202.0,202.0],7.067341e-05],
[[207.0,182.0,182.0],4.267256e-05],
[[207.0,202.0,202.0],6.710952e-05],
[[212.0,142.0,142.0],3.572233e-05],
[[212.0,162.0,162.0],3.465911e-05],
[[212.0,202.0,202.0],6.030205e-05],
[[217.0,202.0,202.0],5.39581e-05],
[[222.0,142.0,142.0],4.250513e-05],
[[222.0,162.0,162.0],3.91202e-05],
[[222.0,202.0,202.0],5.995999e-05],
[[223.0,222.0,222.0],8.229878e-05],
[[227.0,202.0,202.0],5.488459e-05],
[[227.0,222.0,222.0],7.500276e-05],
[[232.0,162.0,162.0],4.50927e-05],
[[232.0,182.0,182.0],4.632172e-05],
[[232.0,222.0,222.0],7.132557e-05],
[[237.0,222.0,222.0],7.026693e-05],
[[242.0,162.0,162.0],4.853187e-05],
[[242.0,182.0,182.0],4.585596e-05],
[[242.0,222.0,222.0],5.73801e-05],
[[243.0,242.0,242.0],8.540557e-05],
[[247.0,222.0,222.0],5.89565e-05],
[[247.0,242.0,242.0],8.49886e-05],
[[252.0,202.0,202.0],5.022561e-05],
[[252.0,242.0,242.0],7.895024e-05],
[[257.0,242.0,242.0],7.482989e-05],
[[262.0,182.0,182.0],5.495455e-05],
[[262.0,202.0,202.0],5.407449e-05],
[[262.0,242.0,242.0],7.690346e-05],
[[263.0,262.0,262.0],9.648521e-05],
[[265.0,262.0,262.0],9.66677e-05],
[[267.0,242.0,242.0],6.404692e-05],
[[267.0,262.0,262.0],0.0001020113],
[[272.0,222.0,222.0],6.306496e-05],
[[272.0,262.0,262.0],9.664532e-05],
[[277.0,262.0,262.0],8.973545e-05],
[[282.0,202.0,202.0],6.844686e-05],
[[282.0,222.0,222.0],5.790895e-05],
[[282.0,262.0,262.0],8.534984e-05],
[[283.0,282.0,282.0],0.0001033122],
[[285.0,282.0,282.0],9.971447e-05],
[[287.0,262.0,262.0],8.297258e-05],
[[287.0,282.0,282.0],0.0001091175],
[[292.0,242.0,242.0],6.403451e-05],
[[292.0,282.0,282.0],0.0001004039],
[[297.0,282.0,282.0],8.814212e-05],
[[302.0,222.0,222.0],7.118255e-05],
[[302.0,242.0,242.0],6.899389e-05],
[[302.0,282.0,282.0],9.352468e-05],
[[303.0,302.0,302.0],0.0001172908],
[[307.0,282.0,282.0],8.342709e-05],
[[307.0,302.0,302.0],0.0001162772],
[[312.0,262.0,262.0],7.517965e-05],
[[322.0,242.0,242.0],7.811727e-05],
[[322.0,262.0,262.0],8.864299e-05],
[[327.0,302.0,302.0],9.92449e-05],
[[332.0,262.0,262.0],8.462045e-05],
[[332.0,282.0,282.0],8.500284e-05],
[[332.0,322.0,322.0],0.0001097365],
[[342.0,262.0,262.0],8.975483e-05],
[[342.0,282.0,282.0],8.497247e-05],
[[347.0,322.0,322.0],9.907633e-05],
[[352.0,282.0,282.0],8.321415e-05],
[[352.0,302.0,302.0],0.0001007029],
[[352.0,342.0,342.0],0.0001220815],
[[362.0,282.0,282.0],9.517915e-05],
[[363.0,362.0,362.0],0.0001377087],
[[367.0,342.0,342.0],0.0001141658],
[[367.0,362.0,362.0],0.0001329275],
[[372.0,322.0,322.0],0.0001066517],
[[382.0,302.0,302.0],9.605291e-05],
[[383.0,382.0,382.0],0.000150204],
[[387.0,362.0,362.0],0.000122004],
[[387.0,382.0,382.0],0.0001505641],
[[392.0,342.0,342.0],0.0001084115],
[[403.0,402.0,402.0],0.0001590068],
[[407.0,402.0,402.0],0.0001546536],
[[412.0,362.0,362.0],0.0001145051],
[[427.0,402.0,402.0],0.0001317262],
[[432.0,362.0,362.0],0.000120041],
[[432.0,382.0,382.0],0.0001265424],
[[442.0,362.0,362.0],0.0001271306],
[[452.0,402.0,402.0],0.0001250584],
[[462.0,382.0,382.0],0.0001257791],
[[482.0,402.0,402.0],0.0001325949],
