txName: T2ttC
constraint: 2.23*([[['b','jet','jet']],[['b','jet','jet']]])
condition: None
conditionDescription: None
figureUrl: http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-010/CMS-SUS-19-010_Figure_009-a.png
source: CMS
validated: True
axes: [[x, x - y], [x, x - y]]
finalState: ['MET', 'MET']
intermediateState: None
upperLimits: [[[[3.250000E+02*GeV,3.250000E+02*GeV],[3.250000E+02*GeV,3.250000E+02*GeV]],3.879900E-01*pb],
[[[3.250000E+02*GeV,3.120670E+02*GeV],[3.250000E+02*GeV,3.120670E+02*GeV]],3.879900E-01*pb],
[[[3.250000E+02*GeV,3.071330E+02*GeV],[3.250000E+02*GeV,3.071330E+02*GeV]],3.669500E-01*pb],
[[[3.250000E+02*GeV,3.022000E+02*GeV],[3.250000E+02*GeV,3.022000E+02*GeV]],3.513200E-01*pb],
[[[3.250000E+02*GeV,2.972670E+02*GeV],[3.250000E+02*GeV,2.972670E+02*GeV]],3.564900E-01*pb],
[[[3.250000E+02*GeV,2.923330E+02*GeV],[3.250000E+02*GeV,2.923330E+02*GeV]],3.621700E-01*pb],
[[[3.250000E+02*GeV,2.874000E+02*GeV],[3.250000E+02*GeV,2.874000E+02*GeV]],3.861800E-01*pb],
[[[3.250000E+02*GeV,2.824670E+02*GeV],[3.250000E+02*GeV,2.824670E+02*GeV]],4.200200E-01*pb],
[[[3.250000E+02*GeV,2.775330E+02*GeV],[3.250000E+02*GeV,2.775330E+02*GeV]],4.392700E-01*pb],
[[[3.250000E+02*GeV,2.726000E+02*GeV],[3.250000E+02*GeV,2.726000E+02*GeV]],4.583500E-01*pb],
[[[3.250000E+02*GeV,2.676670E+02*GeV],[3.250000E+02*GeV,2.676670E+02*GeV]],5.141500E-01*pb],
[[[3.250000E+02*GeV,2.627330E+02*GeV],[3.250000E+02*GeV,2.627330E+02*GeV]],5.746300E-01*pb],
[[[3.250000E+02*GeV,2.578000E+02*GeV],[3.250000E+02*GeV,2.578000E+02*GeV]],6.527300E-01*pb],
[[[3.250000E+02*GeV,2.528670E+02*GeV],[3.250000E+02*GeV,2.528670E+02*GeV]],7.368700E-01*pb],
[[[3.250000E+02*GeV,2.479330E+02*GeV],[3.250000E+02*GeV,2.479330E+02*GeV]],8.410500E-01*pb],
[[[3.375000E+02*GeV,3.375000E+02*GeV],[3.375000E+02*GeV,3.375000E+02*GeV]],3.771000E-01*pb],
[[[3.375000E+02*GeV,3.245670E+02*GeV],[3.375000E+02*GeV,3.245670E+02*GeV]],3.771000E-01*pb],
[[[3.375000E+02*GeV,3.196330E+02*GeV],[3.375000E+02*GeV,3.196330E+02*GeV]],3.560600E-01*pb],
[[[3.375000E+02*GeV,3.147000E+02*GeV],[3.375000E+02*GeV,3.147000E+02*GeV]],3.396000E-01*pb],
[[[3.375000E+02*GeV,3.097670E+02*GeV],[3.375000E+02*GeV,3.097670E+02*GeV]],3.400200E-01*pb],
[[[3.375000E+02*GeV,3.048330E+02*GeV],[3.375000E+02*GeV,3.048330E+02*GeV]],3.459600E-01*pb],
[[[3.375000E+02*GeV,2.999000E+02*GeV],[3.375000E+02*GeV,2.999000E+02*GeV]],3.699600E-01*pb],
[[[3.375000E+02*GeV,2.949670E+02*GeV],[3.375000E+02*GeV,2.949670E+02*GeV]],3.915300E-01*pb],
[[[3.375000E+02*GeV,2.900330E+02*GeV],[3.375000E+02*GeV,2.900330E+02*GeV]],4.102900E-01*pb],
[[[3.375000E+02*GeV,2.851000E+02*GeV],[3.375000E+02*GeV,2.851000E+02*GeV]],4.295300E-01*pb],
[[[3.375000E+02*GeV,2.801670E+02*GeV],[3.375000E+02*GeV,2.801670E+02*GeV]],4.853500E-01*pb],
[[[3.375000E+02*GeV,2.752330E+02*GeV],[3.375000E+02*GeV,2.752330E+02*GeV]],5.354200E-01*pb],
[[[3.375000E+02*GeV,2.703000E+02*GeV],[3.375000E+02*GeV,2.703000E+02*GeV]],5.940300E-01*pb],
[[[3.375000E+02*GeV,2.653670E+02*GeV],[3.375000E+02*GeV,2.653670E+02*GeV]],6.726800E-01*pb],
[[[3.375000E+02*GeV,2.604330E+02*GeV],[3.375000E+02*GeV,2.604330E+02*GeV]],7.760200E-01*pb],
[[[3.500000E+02*GeV,3.500000E+02*GeV],[3.500000E+02*GeV,3.500000E+02*GeV]],3.645800E-01*pb],
[[[3.500000E+02*GeV,3.370670E+02*GeV],[3.500000E+02*GeV,3.370670E+02*GeV]],3.645800E-01*pb],
[[[3.500000E+02*GeV,3.321330E+02*GeV],[3.500000E+02*GeV,3.321330E+02*GeV]],3.476600E-01*pb],
[[[3.500000E+02*GeV,3.272000E+02*GeV],[3.500000E+02*GeV,3.272000E+02*GeV]],3.341800E-01*pb],
[[[3.500000E+02*GeV,3.222670E+02*GeV],[3.500000E+02*GeV,3.222670E+02*GeV]],3.285300E-01*pb],
[[[3.500000E+02*GeV,3.173330E+02*GeV],[3.500000E+02*GeV,3.173330E+02*GeV]],3.295600E-01*pb],
[[[3.500000E+02*GeV,3.124000E+02*GeV],[3.500000E+02*GeV,3.124000E+02*GeV]],3.510800E-01*pb],
[[[3.500000E+02*GeV,3.074670E+02*GeV],[3.500000E+02*GeV,3.074670E+02*GeV]],3.704100E-01*pb],
[[[3.500000E+02*GeV,3.025330E+02*GeV],[3.500000E+02*GeV,3.025330E+02*GeV]],3.886800E-01*pb],
[[[3.500000E+02*GeV,2.976000E+02*GeV],[3.500000E+02*GeV,2.976000E+02*GeV]],4.074300E-01*pb],
[[[3.500000E+02*GeV,2.926670E+02*GeV],[3.500000E+02*GeV,2.926670E+02*GeV]],4.568300E-01*pb],
[[[3.500000E+02*GeV,2.877330E+02*GeV],[3.500000E+02*GeV,2.877330E+02*GeV]],4.997700E-01*pb],
[[[3.500000E+02*GeV,2.828000E+02*GeV],[3.500000E+02*GeV,2.828000E+02*GeV]],5.417500E-01*pb],
[[[3.500000E+02*GeV,2.778670E+02*GeV],[3.500000E+02*GeV,2.778670E+02*GeV]],5.998200E-01*pb],
[[[3.500000E+02*GeV,2.729330E+02*GeV],[3.500000E+02*GeV,2.729330E+02*GeV]],7.048100E-01*pb],
[[[3.625000E+02*GeV,3.625000E+02*GeV],[3.625000E+02*GeV,3.625000E+02*GeV]],3.516900E-01*pb],
[[[3.625000E+02*GeV,3.495670E+02*GeV],[3.625000E+02*GeV,3.495670E+02*GeV]],3.516900E-01*pb],
[[[3.625000E+02*GeV,3.446330E+02*GeV],[3.625000E+02*GeV,3.446330E+02*GeV]],3.366400E-01*pb],
[[[3.625000E+02*GeV,3.397000E+02*GeV],[3.625000E+02*GeV,3.397000E+02*GeV]],3.234500E-01*pb],
[[[3.625000E+02*GeV,3.347670E+02*GeV],[3.625000E+02*GeV,3.347670E+02*GeV]],3.196700E-01*pb],
[[[3.625000E+02*GeV,3.298330E+02*GeV],[3.625000E+02*GeV,3.298330E+02*GeV]],3.150400E-01*pb],
[[[3.625000E+02*GeV,3.249000E+02*GeV],[3.625000E+02*GeV,3.249000E+02*GeV]],3.343800E-01*pb],
[[[3.625000E+02*GeV,3.199670E+02*GeV],[3.625000E+02*GeV,3.199670E+02*GeV]],3.489400E-01*pb],
[[[3.625000E+02*GeV,3.150330E+02*GeV],[3.625000E+02*GeV,3.150330E+02*GeV]],3.637600E-01*pb],
[[[3.625000E+02*GeV,3.101000E+02*GeV],[3.625000E+02*GeV,3.101000E+02*GeV]],3.820300E-01*pb],
[[[3.625000E+02*GeV,3.051670E+02*GeV],[3.625000E+02*GeV,3.051670E+02*GeV]],4.163800E-01*pb],
[[[3.625000E+02*GeV,3.002330E+02*GeV],[3.625000E+02*GeV,3.002330E+02*GeV]],4.593200E-01*pb],
[[[3.625000E+02*GeV,2.953000E+02*GeV],[3.625000E+02*GeV,2.953000E+02*GeV]],5.120700E-01*pb],
[[[3.625000E+02*GeV,2.903670E+02*GeV],[3.625000E+02*GeV,2.903670E+02*GeV]],5.540100E-01*pb],
[[[3.625000E+02*GeV,2.854330E+02*GeV],[3.625000E+02*GeV,2.854330E+02*GeV]],6.585000E-01*pb],
[[[3.750000E+02*GeV,3.750000E+02*GeV],[3.750000E+02*GeV,3.750000E+02*GeV]],3.375400E-01*pb],
[[[3.750000E+02*GeV,3.620670E+02*GeV],[3.750000E+02*GeV,3.620670E+02*GeV]],3.375400E-01*pb],
[[[3.750000E+02*GeV,3.571330E+02*GeV],[3.750000E+02*GeV,3.571330E+02*GeV]],3.210600E-01*pb],
[[[3.750000E+02*GeV,3.522000E+02*GeV],[3.750000E+02*GeV,3.522000E+02*GeV]],3.068300E-01*pb],
[[[3.750000E+02*GeV,3.472670E+02*GeV],[3.750000E+02*GeV,3.472670E+02*GeV]],3.054500E-01*pb],
[[[3.750000E+02*GeV,3.423330E+02*GeV],[3.750000E+02*GeV,3.423330E+02*GeV]],3.027500E-01*pb],
[[[3.750000E+02*GeV,3.374000E+02*GeV],[3.750000E+02*GeV,3.374000E+02*GeV]],3.171700E-01*pb],
[[[3.750000E+02*GeV,3.324670E+02*GeV],[3.750000E+02*GeV,3.324670E+02*GeV]],3.273000E-01*pb],
[[[3.750000E+02*GeV,3.275330E+02*GeV],[3.750000E+02*GeV,3.275330E+02*GeV]],3.385800E-01*pb],
[[[3.750000E+02*GeV,3.226000E+02*GeV],[3.750000E+02*GeV,3.226000E+02*GeV]],3.533100E-01*pb],
[[[3.750000E+02*GeV,3.176670E+02*GeV],[3.750000E+02*GeV,3.176670E+02*GeV]],3.798300E-01*pb],
[[[3.750000E+02*GeV,3.127330E+02*GeV],[3.750000E+02*GeV,3.127330E+02*GeV]],4.140700E-01*pb],
[[[3.750000E+02*GeV,3.078000E+02*GeV],[3.750000E+02*GeV,3.078000E+02*GeV]],4.764400E-01*pb],
[[[3.750000E+02*GeV,3.028670E+02*GeV],[3.750000E+02*GeV,3.028670E+02*GeV]],5.302900E-01*pb],
[[[3.750000E+02*GeV,2.979330E+02*GeV],[3.750000E+02*GeV,2.979330E+02*GeV]],6.182800E-01*pb],
[[[3.875000E+02*GeV,3.875000E+02*GeV],[3.875000E+02*GeV,3.875000E+02*GeV]],3.253300E-01*pb],
[[[3.875000E+02*GeV,3.745670E+02*GeV],[3.875000E+02*GeV,3.745670E+02*GeV]],3.253300E-01*pb],
[[[3.875000E+02*GeV,3.696330E+02*GeV],[3.875000E+02*GeV,3.696330E+02*GeV]],3.084500E-01*pb],
