txName: TChiZISRqq
constraint: {(PV > anyBSM(1), MET(3)), (anyBSM(1) > q,q,MET(2))}
condition: None
conditionDescription: None
figureUrl: None
source: Recast by MA5
validated: True
axesMap: [{0: 'x', 1: 'y', 2: 'y'}]
dataMap: {0: (1, 'mass', GeV), 1: (2, 'mass', GeV), 2: (3, 'mass', GeV)}
finalState: ['MET', 'MET']
intermediateState: None
efficiencyMap: [[[10.0,1.0,1.0],1.683686e-07],
[[20.0,1.0,1.0],2.675398e-07],
[[20.0,15.0,15.0],5.860153e-07],
[[20.0,17.0,17.0],2.18567e-06],
[[20.0,19.0,19.0],1.926224e-06],
[[30.0,1.0,1.0],1.418232e-07],
[[30.0,20.0,20.0],3.734062e-07],
[[30.0,25.0,25.0],1.454772e-06],
[[30.0,27.0,27.0],1.69211e-06],
[[30.0,29.0,29.0],2.320871e-06],
[[40.0,1.0,1.0],7.251347e-08],
[[40.0,20.0,20.0],1.331471e-07],
[[40.0,30.0,30.0],6.316441e-07],
[[40.0,35.0,35.0],2.076223e-06],
[[40.0,37.0,37.0],1.605557e-06],
[[40.0,39.0,39.0],1.980827e-06],
[[50.0,1.0,1.0],8.165296e-08],
[[50.0,20.0,20.0],5.733252e-08],
[[50.0,30.0,30.0],3.427168e-07],
[[50.0,40.0,40.0],2.066319e-06],
[[50.0,45.0,45.0],5.478142e-06],
[[50.0,47.0,47.0],7.627748e-06],
[[50.0,49.0,49.0],1.200859e-05],
[[60.0,1.0,1.0],1.784129e-08],
[[60.0,20.0,20.0],9.8879e-08],
[[60.0,30.0,30.0],6.954928e-07],
[[60.0,40.0,40.0],5.307742e-06],
[[60.0,50.0,50.0],1.005118e-05],
[[60.0,55.0,55.0],1.523617e-05],
[[60.0,57.0,57.0],1.667117e-05],
[[60.0,59.0,59.0],2.114157e-05],
[[62.0,12.0,12.0],2.451205e-08],
[[62.0,42.0,42.0],4.563091e-06],
[[62.0,52.0,52.0],6.299207e-06],
[[63.0,62.0,62.0],1.735171e-05],
[[65.0,62.0,62.0],1.638015e-05],
[[67.0,42.0,42.0],3.885298e-06],
[[67.0,52.0,52.0],7.63954e-06],
[[67.0,62.0,62.0],1.546005e-05],
[[72.0,12.0,12.0],7.03437e-08],
[[72.0,22.0,22.0],1.69334e-06],
[[72.0,52.0,52.0],6.651384e-06],
[[72.0,62.0,62.0],1.296669e-05],
[[73.0,72.0,72.0],2.718887e-05],
[[75.0,72.0,72.0],2.760242e-05],
[[77.0,52.0,52.0],8.302267e-06],
[[77.0,62.0,62.0],1.167762e-05],
[[77.0,72.0,72.0],2.283432e-05],
[[82.0,12.0,12.0],1.233401e-06],
[[82.0,22.0,22.0],2.665917e-06],
[[82.0,32.0,32.0],7.656564e-06],
[[82.0,62.0,62.0],1.263386e-05],
[[82.0,72.0,72.0],1.798898e-05],
[[83.0,82.0,82.0],3.776265e-05],
[[85.0,82.0,82.0],3.515356e-05],
[[87.0,62.0,62.0],1.460053e-05],
[[87.0,72.0,72.0],1.766625e-05],
[[87.0,82.0,82.0],3.051934e-05],
[[92.0,12.0,12.0],3.832723e-06],
[[92.0,22.0,22.0],5.446132e-06],
[[92.0,32.0,32.0],1.054178e-05],
[[92.0,42.0,42.0],1.734901e-05],
[[92.0,72.0,72.0],1.864377e-05],
[[92.0,82.0,82.0],2.830074e-05],
[[93.0,92.0,92.0],5.539651e-05],
[[97.0,72.0,72.0],1.791485e-05],
[[97.0,82.0,82.0],2.344794e-05],
[[97.0,92.0,92.0],4.079992e-05],
[[102.0,22.0,22.0],1.085173e-05],
[[102.0,32.0,32.0],1.707891e-05],
[[102.0,42.0,42.0],1.712675e-05],
[[102.0,52.0,52.0],1.430513e-05],
[[102.0,82.0,82.0],2.753284e-05],
[[102.0,92.0,92.0],3.56289e-05],
[[105.0,102.0,102.0],5.40013e-05],
[[107.0,82.0,82.0],2.231568e-05],
[[107.0,92.0,92.0],3.308386e-05],
[[107.0,102.0,102.0],5.91716e-05],
[[112.0,32.0,32.0],1.928855e-05],
[[112.0,42.0,42.0],2.266738e-05],
[[112.0,52.0,52.0],2.855786e-05],
[[112.0,62.0,62.0],1.809227e-05],
[[112.0,92.0,92.0],3.264698e-05],
[[112.0,102.0,102.0],4.497308e-05],
[[117.0,92.0,92.0],3.06489e-05],
[[117.0,102.0,102.0],4.14077e-05],
[[122.0,42.0,42.0],3.122234e-05],
[[122.0,52.0,52.0],2.462862e-05],
[[122.0,62.0,62.0],2.86457e-05],
[[122.0,72.0,72.0],2.92391e-05],
[[122.0,102.0,102.0],3.860556e-05],
[[123.0,122.0,122.0],7.470375e-05],
[[127.0,102.0,102.0],3.93606e-05],
[[127.0,122.0,122.0],6.898342e-05],
[[132.0,52.0,52.0],3.369004e-05],
[[132.0,62.0,62.0],3.714605e-05],
[[132.0,72.0,72.0],3.480626e-05],
[[132.0,82.0,82.0],3.461659e-05],
[[132.0,122.0,122.0],6.259019e-05],
[[142.0,62.0,62.0],3.836751e-05],
[[142.0,72.0,72.0],4.425687e-05],
[[142.0,82.0,82.0],4.183451e-05],
[[142.0,92.0,92.0],4.174481e-05],
[[142.0,122.0,122.0],5.626861e-05],
[[143.0,142.0,142.0],0.0001040412],
[[145.0,142.0,142.0],0.0001018733],
[[147.0,122.0,122.0],6.22161e-05],
[[147.0,142.0,142.0],9.148986e-05],
[[152.0,72.0,72.0],5.622497e-05],
[[152.0,82.0,82.0],5.403721e-05],
[[152.0,92.0,92.0],4.648827e-05],
[[152.0,102.0,102.0],4.86634e-05],
[[152.0,142.0,142.0],8.543246e-05],
[[157.0,142.0,142.0],7.527414e-05],
[[162.0,82.0,82.0],6.211226e-05],
[[162.0,102.0,102.0],5.90711e-05],
[[162.0,142.0,142.0],7.602499e-05],
[[163.0,162.0,162.0],0.0001204525],
[[165.0,162.0,162.0],0.0001344975],
[[167.0,142.0,142.0],6.939184e-05],
[[167.0,162.0,162.0],0.0001227118],
[[172.0,92.0,92.0],7.929051e-05],
[[172.0,122.0,122.0],6.231703e-05],
[[172.0,162.0,162.0],0.0001009223],
[[177.0,162.0,162.0],0.0001014939],
[[182.0,102.0,102.0],6.641231e-05],
[[182.0,162.0,162.0],9.566251e-05],
[[183.0,182.0,182.0],0.0001307672],
[[187.0,162.0,162.0],8.988107e-05],
[[187.0,182.0,182.0],0.0001328732],
[[192.0,122.0,122.0],7.935714e-05],
[[192.0,142.0,142.0],8.553837e-05],
[[192.0,182.0,182.0],0.0001237816],
[[197.0,182.0,182.0],0.0001298119],
[[202.0,122.0,122.0],0.000105048],
[[202.0,142.0,142.0],9.643481e-05],
[[202.0,182.0,182.0],0.0001288012],
[[203.0,202.0,202.0],0.0001727218],
[[207.0,182.0,182.0],0.0001152529],
[[207.0,202.0,202.0],0.0001466601],
[[212.0,142.0,142.0],8.475089e-05],
[[212.0,162.0,162.0],0.0001018493],
[[212.0,202.0,202.0],0.0001492239],
[[217.0,202.0,202.0],0.0001421501],
[[222.0,142.0,142.0],0.0001215313],
[[222.0,162.0,162.0],0.0001111577],
[[222.0,202.0,202.0],0.0001426658],
[[223.0,222.0,222.0],0.0001890876],
[[227.0,202.0,202.0],0.0001357006],
[[227.0,222.0,222.0],0.0001863589],
[[232.0,162.0,162.0],0.0001150683],
[[232.0,182.0,182.0],0.0001138816],
[[232.0,222.0,222.0],0.0001770263],
[[237.0,222.0,222.0],0.0001691486],
[[242.0,162.0,162.0],0.0001338995],
[[242.0,182.0,182.0],0.0001234206],
[[242.0,222.0,222.0],0.0001588681],
[[243.0,242.0,242.0],0.0002106625],
[[247.0,222.0,222.0],0.0001513036],
[[247.0,242.0,242.0],0.0001948805],
[[252.0,202.0,202.0],0.0001423772],
[[252.0,242.0,242.0],0.0002028522],
[[257.0,242.0,242.0],0.0001909547],
[[262.0,182.0,182.0],0.0001483268],
[[262.0,202.0,202.0],0.0001365467],
[[262.0,242.0,242.0],0.0001799846],
[[263.0,262.0,262.0],0.0002261371],
[[265.0,262.0,262.0],0.0002232245],
[[267.0,242.0,242.0],0.0001772709],
[[267.0,262.0,262.0],0.0002271515],
[[272.0,222.0,222.0],0.0001514598],
[[272.0,262.0,262.0],0.0002156869],
[[277.0,262.0,262.0],0.0002046053],
[[282.0,202.0,202.0],0.0001788528],
[[282.0,222.0,222.0],0.0001442171],
[[282.0,262.0,262.0],0.0001934663],
[[283.0,282.0,282.0],0.0002347303],
[[285.0,282.0,282.0],0.0002626587],
[[287.0,262.0,262.0],0.0001837774],
[[287.0,282.0,282.0],0.0002308138],
[[292.0,242.0,242.0],0.0001877086],
[[292.0,282.0,282.0],0.0002353093],
[[297.0,282.0,282.0],0.0002421301],
[[302.0,222.0,222.0],0.0001883359],
[[302.0,242.0,242.0],0.0001685583],
[[302.0,282.0,282.0],0.0002066605],
[[303.0,302.0,302.0],0.0002581049],
[[307.0,282.0,282.0],0.0002157741],
[[307.0,302.0,302.0],0.0002761325],
[[312.0,262.0,262.0],0.0001926441],
[[322.0,242.0,242.0],0.000199063],
[[322.0,262.0,262.0],0.0001949514],
[[327.0,302.0,302.0],0.0002384976],
[[332.0,262.0,262.0],0.0002158684],
[[332.0,282.0,282.0],0.0001915364],
[[332.0,322.0,322.0],0.000259795],
[[342.0,262.0,262.0],0.0002371512],
[[342.0,282.0,282.0],0.0002076731],
[[347.0,322.0,322.0],0.0002430839],
[[352.0,282.0,282.0],0.0002352128],
[[352.0,302.0,302.0],0.0002288687],
[[352.0,342.0,342.0],0.0002705185],
[[362.0,282.0,282.0],0.0002400485],
[[363.0,362.0,362.0],0.0003236894],
[[367.0,342.0,342.0],0.0002580022],
[[367.0,362.0,362.0],0.0003065745],
[[372.0,322.0,322.0],0.0002409206],
[[382.0,302.0,302.0],0.0002558503],
[[383.0,382.0,382.0],0.0003403279],
[[387.0,362.0,362.0],0.000277191],
[[387.0,382.0,382.0],0.0003338757],
[[392.0,342.0,342.0],0.0002555047],
[[403.0,402.0,402.0],0.000342304],
[[407.0,402.0,402.0],0.0003474172],
[[412.0,362.0,362.0],0.0002712305],
[[427.0,402.0,402.0],0.0003215022],
[[432.0,362.0,362.0],0.0003104251],
[[432.0,382.0,382.0],0.0002890396],
[[442.0,362.0,362.0],0.0002683064],
[[452.0,402.0,402.0],0.000281388],
[[462.0,382.0,382.0],0.0003170555],
[[482.0,402.0,402.0],0.0003363936],
[[503.0,502.0,502.0],0.0004032634],
[[507.0,502.0,502.0],0.0004116216],
[[527.0,502.0,502.0],0.0003810931],
